mouse_110_WT_C	mouse_110_WT_NC	mouse_148_WT_C	mouse_148_WT_NC	mouse_158_WT_C	mouse_158_WT_NC	mouse_183_KOMIR150_C	mouse_183_KOMIR150_NC	mouse_198_KOMIR150_C	mouse_198_KOMIR150_NC	mouse_206_KOMIR150_C	mouse_206_KOMIR150_NC	mouse_2670_KOTet3_C	mouse_2670_KOTet3_NC	mouse_7530_KOTet3_C	mouse_7530_KOTet3_NC	mouse_7531_KOTet3_C	mouse_7532_WT_NC	mouse_H510_WT_C	mouse_H510_WT_NC	mouse_H514_WT_C	mouse_H514_WT_NC
ENSMUSG00000064370.1	2848.28	2272.03	2356.15	2181.47	2491.06	1970.74	2481.14	2340.18	2923.9	2428.15	2770.17	2489.57	2134.94	2170.29	3048.91	2171.41	2869.46	2709.07	2961.83	3357.88	2573.44	2370.39
ENSMUSG00000064368.1	65.9204	49.1288	56.8795	94.0987	53.5018	75.0948	38.6812	54.0887	42.4895	64.555	81.8682	58.5821	45.6552	53.6445	31.5482	14.7091	31.1847	40.1847	54.8187	67.1119	56.8413	22.2008
ENSMUSG00000064367.1	1992.28	1248.15	1574	1182.75	1720.72	1198.75	1797.21	1229.27	1956.47	1362.33	1921.99	1429.88	1764.87	1298.87	2103.45	1243.46	1889.63	1522.21	1918.38	1978.02	1772.18	1317.48
ENSMUSG00000064357.1	6555.89	4647.55	6122.57	4751.45	5982.05	4493.1	5915.7	5434.11	6830.45	5219.48	7017.46	5723.34	5809.88	4873.65	6358.91	5269.24	6262.42	5848.78	6628.18	7104.09	5988.37	5259.54
ENSMUSG00000064345.1	1920.55	1760.84	1775.72	1985.76	1842.64	1770.49	1844.84	1942.92	2088.72	2029.37	2156.3	2041.1	1376.88	1801.83	1828.27	1808.11	1682.75	2044.82	2010.27	2400.59	1812.07	1838.55
ENSMUSG00000064341.1	3159.37	2600.4	2751.5	2865.81	2829.43	2565.98	2887.58	2994.9	3406.09	3185.18	3345.26	3279.13	2374.39	3061.92	2964.43	3122.73	2781.01	3267.69	3307.09	3907.13	2965.09	2871.93
ENSMUSG00000096850.2	4.82727	0	0	0	0	0	0	6.52522	8.17307	12.397	0	0	3.75466	0	0	0	0	0	4.34849	0	0	4.65785
ENSMUSG00000096178.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100608.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101915.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095650.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095153.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099894.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099740.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100902.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094507.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096902.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094616.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
